filename,folder_name,meta_counter,peak_to_peak_t,systolic_peak_index,dychrotic_notch_index,diastolic_peak_index,A2_area,A1_area,A2_A1_ratio,a1,b1,ta1,tb1,a2,b2,ta2,tb2,b2_a2,systolic_peak_c,dychrotic_notch_c,diastolic_peak_c
111,clc,1.0,23.0,62.0,70.0,85.0,41.4299244157085,93.0713360740032,2.246476125327287,0.023605910504005432,-0.0222535141340241,184.0,23.0,0.002638032697585385,-0.0010556436137146852,198.0,178.0,-0.4001632029356289,1.0,1.0,1.0
111,clc,2.0,70.0,93.0,143.0,163.0,109.07817279123266,27.93662317109729,0.25611561374947,0.012889233662232602,-0.027453375850222672,141.0,20.0,0.002535401739473142,-0.0012945584938608425,5.0,34.0,-0.5105930447653051,1.0,1.0,1.0
112,clc,0.0,73.0,69.0,123.0,142.0,91.67900425650036,36.25513962166728,0.3954573886975509,0.020017684529333668,-0.02689409899049605,176.0,20.0,0.00223292856937507,-0.0008744809213450111,6.0,31.0,-0.3916295995038266,1.0,1.0,1.0
112,clc,1.0,46.0,55.0,70.0,101.0,43.96979600684069,91.36969605408513,2.078010460632342,0.02418696229522349,-0.030042140779258094,181.0,25.0,0.002325599865933412,-0.0015601845707959858,198.0,40.0,-0.6708740371249481,1.0,1.0,1.0
112,clc,2.0,48.0,64.0,82.0,112.0,54.62346289548341,91.47326676454188,1.6746149349697383,0.013214532686253829,-0.0287685797740776,179.0,19.0,0.0024497144844823696,-0.0011367666360933006,5.0,33.0,-0.4640404599369065,1.0,1.0,1.0
113,clc,0.0,43.0,67.0,86.0,110.0,58.53254376407138,66.62754931913891,1.1382992269684409,0.0202939727783274,-0.02792025100991257,183.0,20.0,0.002159203984303623,-0.0010355313278250786,6.0,173.0,-0.4795893928285121,1.0,1.0,1.0
113,clc,1.0,42.0,67.0,85.0,109.0,56.97267744333161,75.66218584993773,1.3280433577164386,0.015920452880334782,-0.028914111216761962,179.0,21.0,0.0022478724779434398,-0.0011569276940193165,4.0,35.0,-0.514676746733329,1.0,1.0,1.0
114,clc,1.0,35.0,70.0,87.0,105.0,50.460817799158065,75.39904791622695,1.4942097889956312,0.012395568127321843,-0.022892794732374815,180.0,36.0,0.0011882688443122292,-0.00109520819515585,1.0,57.0,-0.9216838431792406,1.0,1.0,1.0
114,clc,2.0,39.0,59.0,75.0,98.0,44.84975594810808,81.03412291649674,1.8067907216764918,0.01708893924829069,-0.025971383222012145,178.0,25.0,0.001870726004537436,-0.0013523667099684113,5.0,52.0,-0.7229100930271204,1.0,1.0,1.0
114,clc,3.0,42.0,112.0,154.0,154.0,90.15171378117901,22.91399395698834,0.2541714737958991,0.010987981071560736,-0.014008867798432913,152.0,60.0,0.0008225854464632316,-0.0011538936250639065,8.0,113.0,-1.4027644544711548,1.0,1.0,1.0
115,clc,0.0,32.0,55.0,71.0,87.0,45.78386225110655,81.57705616382805,1.7817862485346878,0.0179605896712364,-0.031156897318101895,182.0,22.0,0.0024276781074663994,-0.0015735283895053074,5.0,40.0,-0.6481618731354343,1.0,1.0,1.0
115,clc,1.0,38.0,63.0,78.0,101.0,50.03365827210451,79.60696264466122,1.5910682007644612,0.020504457108719287,-0.02862329149898707,182.0,21.0,0.002397118393941966,-0.0010817865625383227,5.0,36.0,-0.4512862465501204,1.0,1.0,1.0
116,clc,1.0,28.0,62.0,78.0,90.0,53.40396638638458,76.3186416565338,1.4290818982312776,0.017206891338087615,-0.02483560926270456,180.0,22.0,0.0018089376839100504,-0.0009113157072468957,5.0,39.0,-0.5037850199886771,1.0,1.0,1.0
116,clc,2.0,37.0,49.0,61.0,86.0,34.23880906723089,95.03653887855324,2.775696394461053,0.01531822274508346,-0.03137013767332375,182.0,22.0,0.0022804498853454948,-0.0017980515131845733,6.0,40.0,-0.7884635065822386,1.0,1.0,1.0
117,clc,0.0,39.0,62.0,78.0,101.0,50.751067679919814,74.67285528988667,1.471355356715614,0.01606923831636406,-0.028991108612732363,179.0,21.0,0.002400997839952873,-0.0012207500472469768,5.0,38.0,-0.5084344629276875,1.0,1.0,1.0
117,clc,1.0,35.0,60.0,76.0,95.0,47.182853039216674,78.80455222219742,1.6701947242719284,0.01831214356603733,-0.027114727972430364,177.0,25.0,0.0018846401987936,-0.001142543381121408,5.0,44.0,-0.6062395261720384,1.0,1.0,1.0
117,clc,2.0,110.0,67.0,177.0,177.0,139.050455895185,4.0101848407929745,0.028839782041533306,0.024495419422450482,-0.03017455940565428,179.0,22.0,0.0021502152187238693,-0.0012799611901457286,6.0,39.0,-0.5952711984362999,1.0,1.0,1.0
118,clc,0.0,26.0,58.0,72.0,84.0,45.35025890415868,82.57569864778664,1.8208429376841848,0.01844451631771657,-0.02839485398503128,182.0,24.0,0.002065043717811049,-0.0012560889422081893,6.0,44.0,-0.6082626393690328,1.0,1.0,1.0
118,clc,1.0,30.0,59.0,71.0,89.0,45.2597173291045,89.19222639890894,1.970675728050856,0.019846098568900017,-0.03142943104085383,181.0,21.0,0.0023573664213063987,-0.0013712000274435088,5.0,33.0,-0.5816660554126417,1.0,1.0,1.0
118,clc,2.0,43.0,47.0,64.0,90.0,40.96928192313376,109.08117303418275,2.6625112258213357,0.016501260685132024,-0.03661973603080704,181.0,20.0,0.0029244272364204607,-0.002087413549398676,6.0,37.0,-0.7137854289558934,1.0,1.0,1.0
119,clc,0.0,41.0,53.0,70.0,94.0,48.657966908849275,84.7693428951014,1.7421472428944555,0.01890543341122486,-0.02973143784776405,178.0,18.0,0.0030663895550079308,-0.001264867108370371,5.0,31.0,-0.4124939397555114,1.0,1.0,1.0
119,clc,1.0,34.0,61.0,78.0,95.0,49.6128388702213,71.60350322369635,1.4432454351382484,0.013584167843198993,-0.02822257061179712,156.0,23.0,0.0019606805329820814,-0.0011492976354063875,5.0,43.0,-0.5861728191172341,1.0,1.0,1.0
119,clc,2.0,47.0,51.0,68.0,98.0,41.35253338544197,86.72354963677526,2.0971762196147825,0.019536462987041314,-0.03277920178200355,179.0,24.0,0.0021174684580809455,-0.00187246056523227,5.0,38.0,-0.8842920696581591,1.0,1.0,1.0
12,clc,0.0,29.0,68.0,88.0,97.0,55.62225954374411,68.26611176235419,1.227316407537639,0.02035129306128547,-0.023299434002327257,177.0,24.0,0.001987121094559008,-0.0010923741364370354,7.0,164.0,-0.5497270093041112,1.0,1.0,1.0
12,clc,1.0,48.0,78.0,95.0,126.0,61.167358133461256,68.61401759823556,1.121742375214676,0.02573171186642048,-0.02140309166277965,177.0,18.0,0.00213368232215614,-0.0010686220500844,195.0,74.0,-0.5008346551817192,1.0,1.0,1.0
12,clc,2.0,47.0,52.0,67.0,99.0,39.79055840311542,104.37286677904058,2.6230560959121565,0.02570339710018732,-0.029869391095058095,178.0,22.0,0.002390734664479463,-0.001706341264323452,5.0,46.0,-0.7137309253408828,1.0,1.0,1.0
120,clc,0.0,39.0,58.0,76.0,97.0,48.18059421718275,72.34742413618456,1.5015884571714802,0.014964391275589515,-0.02602354334671464,171.0,27.0,0.0017639232779089742,-0.0015174400670951993,10.0,54.0,-0.8602642110908779,1.0,1.0,1.0
120,clc,1.0,104.0,73.0,177.0,177.0,123.1608006268802,3.351372644284011,0.02721135805569426,0.016861639056203803,-0.026226959170810138,179.0,24.0,0.0020010378021903287,-0.00112321108896829,4.0,39.0,-0.5613142778906162,1.0,1.0,1.0
120,clc,2.0,54.0,73.0,100.0,127.0,64.99835657273725,57.293568032597605,0.8814617946298764,0.013916146155001195,-0.02215922293341637,177.0,25.0,0.001791513905742191,-0.0008305733953670735,4.0,64.0,-0.4636153773101651,1.0,1.0,1.0
121,clc,0.0,46.0,53.0,71.0,99.0,46.917659593684576,86.53728702302969,1.84445020856663,0.0220428885477581,-0.03206167629614665,181.0,20.0,0.002439067075383577,-0.001489484495040161,7.0,34.0,-0.610677955548196,1.0,1.0,1.0
121,clc,1.0,35.0,57.0,72.0,92.0,46.31457101998022,88.66276877037005,1.9143601423431242,0.021816560956315845,-0.03086500747300036,181.0,20.0,0.0023014358035060288,-0.0012349123396553365,1.0,167.0,-0.536583439683201,1.0,1.0,1.0
122,clc,0.0,40.0,83.0,107.0,123.0,80.87377730524307,47.78537241695078,0.5908636149959183,0.01631887973913171,-0.028092207591441043,175.0,19.0,0.0024837303810466005,-0.0012879216532069027,5.0,37.0,-0.5185432617948632,1.0,1.0,1.0
122,clc,1.0,36.0,59.0,77.0,95.0,49.09624285248599,76.16523297048977,1.5513454501871962,0.018593720136770568,-0.028484332979513083,179.0,26.0,0.0017293794431068182,-0.0014278740356503672,5.0,42.0,-0.8256568801842592,1.0,1.0,1.0
122,clc,2.0,37.0,60.0,74.0,97.0,46.09144709093521,91.06669620304936,1.9757829695253684,0.01799806507763635,-0.02813516049978021,180.0,21.0,0.0022299352330881206,-0.0009829469498812136,5.0,47.0,-0.4407961878426317,1.0,1.0,1.0
123,clc,0.0,35.0,52.0,72.0,87.0,47.01905383669017,76.83396786446424,1.6341028071583337,0.01598321932510563,-0.03177011814690145,183.0,22.0,0.002563180977081067,-0.0016601390971864305,5.0,40.0,-0.647687038890631,1.0,1.0,1.0
123,clc,1.0,20.0,54.0,68.0,74.0,42.085084782219184,90.84298270397491,2.15855529753752,0.017446476421123347,-0.03281815296174352,178.0,22.0,0.002403460212282437,-0.0017890243005793671,9.0,40.0,-0.7443536162724435,1.0,1.0,1.0
123,clc,2.0,65.0,51.0,65.0,116.0,32.89438965658667,106.46490843324457,3.2365673765260565,0.016939261100251457,-0.0271068682289633,179.0,20.0,0.002309703799460077,-0.001528112426099959,5.0,34.0,-0.6616053653534165,1.0,1.0,1.0
124,clc,0.0,34.0,60.0,74.0,94.0,46.3912378190141,83.44892665901007,1.7988079340449796,0.019394621229002096,-0.024386807598147042,176.0,28.0,0.001492066369333852,-0.001266196239695372,195.0,50.0,-0.8486192475879459,1.0,1.0,1.0
124,clc,1.0,98.0,72.0,170.0,170.0,127.05639761387384,4.575974871387868,0.036015304678276176,0.01959670195778329,-0.027192961426023177,170.0,24.0,0.001849625745764076,-0.0011114223910277943,5.0,43.0,-0.6008904198987932,1.0,1.0,1.0
124,clc,2.0,30.0,56.0,71.0,86.0,42.0709660976796,93.36745390373194,2.2192847601111203,0.018348207924334503,-0.02988348968872645,179.0,27.0,0.0018019349360315871,-0.0016792480767384712,5.0,47.0,-0.931913823945658,1.0,1.0,1.0
126,clc,0.0,44.0,52.0,72.0,96.0,52.63228427947136,71.50735274252871,1.3586214948002806,0.015443678056063668,-0.02243487991994131,177.0,21.0,0.0018916521057836808,-0.0012632951992788133,3.0,44.0,-0.6678263912356391,1.0,1.0,1.0
126,clc,1.0,42.0,58.0,77.0,100.0,50.693691315556926,78.75187123820362,1.5534846485727545,0.019983873154344408,-0.02613070535021256,179.0,26.0,0.0019073178209789328,-0.0012617176908344965,195.0,42.0,-0.6615141309731581,1.0,1.0,1.0
126,clc,2.0,44.0,57.0,75.0,101.0,47.24125029879564,81.69105895671386,1.7292315177948725,0.01718089261182171,-0.029358853976388155,181.0,24.0,0.0020574408620991076,-0.0014632312308329176,9.0,45.0,-0.7111899339551627,1.0,1.0,1.0
127,clc,0.0,39.0,60.0,78.0,99.0,50.83061826956005,75.75792204050221,1.490399381702384,0.01873277738474699,-0.026581213388241487,177.0,25.0,0.0017573827521486507,-0.0012061014508371044,9.0,44.0,-0.6863055013840748,1.0,1.0,1.0
127,clc,1.0,110.0,65.0,175.0,175.0,126.57620896404151,3.3196832766763187,0.026226755437266987,0.017501817557356913,-0.028352862692927305,179.0,22.0,0.0022397495665574052,-0.0011180480222303668,5.0,40.0,-0.4991843904891817,1.0,1.0,1.0
127,clc,2.0,28.0,56.0,72.0,84.0,46.95175280609822,95.69513488010672,2.038158943188114,0.01945760640350647,-0.03244484504236783,177.0,21.0,0.002438591157698185,-0.0015433971414715586,5.0,38.0,-0.6329052480155754,1.0,1.0,1.0
128,clc,0.0,42.0,66.0,86.0,108.0,52.995488348977965,62.21949005347046,1.1740525843209892,0.014420280092285132,-0.02494517366695204,162.0,30.0,0.001514273945685457,-0.0012177848312346915,4.0,53.0,-0.8042037801049562,1.0,1.0,1.0
128,clc,1.0,46.0,82.0,104.0,128.0,69.03313149964318,51.27694083292847,0.7427874082924011,0.01703663539199468,-0.02373539405937025,169.0,27.0,0.0015343287858695755,-0.0008665179958944336,4.0,45.0,-0.564753789327714,1.0,1.0,1.0
129,clc,0.0,33.0,58.0,80.0,91.0,49.820896512721745,59.86911031341011,1.2016867319543831,0.014649159023578412,-0.02761021776552808,180.0,26.0,0.0019609841301676733,-0.001595632069127939,4.0,49.0,-0.8136894351059865,1.0,1.0,1.0
129,clc,1.0,41.0,68.0,95.0,109.0,62.14085406288298,50.47040668749862,0.8121936437568991,0.011562705020031427,-0.02520874099524756,172.0,26.0,0.0017202313640912045,-0.0010430609368656807,7.0,54.0,-0.6063492147852614,1.0,1.0,1.0
129,clc,2.0,71.0,59.0,112.0,130.0,79.23209650680597,46.073669810515746,0.5815025960667097,0.016594592478755166,-0.029098256196781136,173.0,27.0,0.0018795371849370246,-0.0016553673844468266,7.0,46.0,-0.8807313830836982,1.0,1.0,1.0
13,clc,0.0,26.0,78.0,94.0,104.0,58.81397775772772,68.89730878405548,1.1714444662774557,0.02306804835668952,-0.02027240440775685,179.0,26.0,0.0019799230434325533,-0.0010158496730698907,195.0,168.0,-0.5130753321142886,1.0,1.0,1.0
13,clc,1.0,39.0,68.0,82.0,107.0,50.55653368425051,84.44657999260404,1.6703395948783384,0.024874786687573924,-0.019676334659112504,174.0,24.0,0.0020686839707058265,-0.001193131673006942,195.0,62.0,-0.5767587944328927,1.0,1.0,1.0
